iter	Passed	Remaining
0	1	147
1	2	134
2	3	128
3	4	118
4	6	118
5	7	116
6	8	116
7	10	115
8	11	113
9	12	112
10	13	111
11	15	110
12	16	109
13	17	107
14	18	105
15	19	103
16	20	101
17	21	98
18	22	95
19	23	93
20	24	91
21	25	89
22	26	87
23	26	85
24	27	83
25	28	81
26	29	80
27	30	78
28	31	75
29	31	73
30	32	72
31	33	70
32	33	68
33	34	66
34	35	65
35	35	63
36	36	61
37	36	60
38	37	58
39	38	57
40	38	55
41	38	53
42	39	52
43	40	51
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	41
54	48	39
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	54	33
62	55	32
63	56	31
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	63	24
72	64	23
73	65	23
74	66	22
75	67	21
76	68	20
77	68	19
78	69	18
79	70	17
80	71	16
81	71	15
82	72	14
83	73	13
84	73	13
85	74	12
86	75	11
87	75	10
88	76	9
89	76	8
90	77	7
91	78	6
92	78	5
93	79	5
94	79	4
95	80	3
96	81	2
97	81	1
98	82	0
99	82	0
