iter	Passed	Remaining
0	135	135795
1	136	68229
2	137	45660
3	138	34391
4	138	27625
5	139	23128
6	140	19922
7	141	17525
8	142	15647
9	143	14165
10	143	12932
11	144	11902
12	145	11042
13	146	10302
14	147	9657
15	147	9096
16	148	8597
17	149	8154
18	150	7759
19	150	7398
20	151	7077
21	152	6788
22	153	6520
23	154	6271
24	154	6041
25	155	5828
26	156	5650
27	157	5471
28	158	5314
29	159	5156
30	160	5009
31	160	4868
32	161	4737
33	162	4614
34	163	4498
35	163	4388
36	164	4288
37	165	4190
38	166	4097
39	167	4010
40	167	3926
41	168	3846
42	169	3769
43	170	3696
44	171	3629
45	171	3563
46	172	3504
47	173	3444
48	174	3385
49	175	3328
50	175	3272
51	176	3219
52	177	3169
53	178	3119
54	178	3072
55	179	3026
56	180	2982
57	180	2939
58	181	2898
59	182	2857
60	183	2820
61	183	2782
62	184	2746
63	185	2712
64	186	2678
65	187	2647
66	188	2618
67	188	2588
68	189	2558
69	190	2528
70	191	2500
71	191	2471
72	192	2443
73	193	2417
74	193	2390
75	194	2367
76	195	2342
77	196	2318
78	196	2293
79	197	2270
80	198	2248
81	198	2226
82	199	2202
83	200	2181
84	200	2161
85	201	2142
86	202	2125
87	203	2106
88	203	2087
89	204	2069
90	205	2051
91	206	2034
92	206	2017
93	207	2001
94	208	1984
95	209	1968
96	209	1952
97	210	1937
98	211	1921
99	211	1906
100	212	1892
101	213	1876
102	213	1862
103	214	1851
104	215	1837
105	216	1826
106	217	1813
107	217	1800
108	218	1787
109	219	1775
110	220	1762
111	220	1750
112	221	1738
113	222	1726
114	222	1715
115	223	1703
116	224	1690
117	224	1679
118	225	1668
119	226	1658
120	226	1647
121	227	1636
122	228	1626
123	228	1615
124	229	1606
125	230	1597
126	231	1588
127	231	1578
128	232	1569
129	233	1559
130	233	1550
131	234	1541
132	235	1532
133	235	1523
134	236	1515
135	237	1506
136	237	1498
137	238	1489
138	239	1481
139	239	1473
140	240	1465
141	240	1456
142	241	1448
143	242	1440
144	243	1432
145	243	1425
146	244	1419
147	245	1412
148	246	1406
149	247	1399
150	247	1392
151	248	1385
152	249	1378
153	249	1371
154	250	1365
155	251	1358
156	251	1351
157	252	1345
158	253	1338
159	253	1332
160	254	1324
161	254	1318
162	255	1312
163	256	1306
164	256	1300
165	257	1294
166	258	1288
167	259	1282
168	259	1277
169	260	1271
170	261	1266
171	261	1260
172	262	1254
173	263	1249
174	263	1243
175	264	1238
176	265	1232
177	265	1227
178	266	1221
179	267	1216
180	267	1211
181	268	1206
182	269	1201
183	269	1196
184	270	1191
185	271	1186
186	271	1181
187	272	1176
188	273	1171
189	273	1167
190	274	1163
191	275	1159
192	276	1154
193	276	1149
194	277	1145
195	278	1141
196	278	1136
197	279	1132
198	280	1127
199	280	1123
200	281	1119
201	282	1114
202	282	1110
203	283	1106
204	284	1102
205	284	1098
206	285	1093
207	286	1089
208	286	1085
209	287	1081
210	288	1077
211	288	1074
212	289	1070
213	290	1066
214	291	1062
215	291	1058
216	292	1054
217	292	1050
218	293	1047
219	294	1043
220	294	1039
221	295	1036
222	296	1032
223	297	1029
224	297	1025
225	298	1021
226	299	1018
227	299	1015
228	300	1011
229	301	1008
230	301	1005
231	302	1002
232	303	999
233	304	996
234	305	992
235	305	989
236	306	986
237	307	983
238	307	979
239	308	976
240	308	973
241	309	969
242	310	966
243	310	963
244	311	960
245	312	956
246	312	953
247	313	950
248	314	947
249	314	944
250	315	941
251	316	938
252	316	935
253	317	933
254	318	930
255	319	927
256	319	924
257	320	921
258	321	919
259	321	916
260	322	913
261	323	911
262	324	908
263	324	905
264	325	903
265	326	900
266	326	897
267	327	894
268	328	891
269	328	889
270	329	886
271	330	883
272	330	880
273	331	878
274	332	876
275	333	873
276	333	871
277	334	869
278	335	866
279	336	864
280	336	862
281	337	859
282	338	857
283	339	854
284	339	852
285	340	849
286	341	847
287	341	844
288	342	842
289	343	840
290	343	837
291	344	835
292	345	833
293	345	830
294	346	828
295	347	826
296	348	824
297	349	822
298	349	820
